order_id,customer_id,order_date,order_status
1.0,680.0,2024-02-26,Pendente
2.0,5219.0,2024-05-31,
3.0,9403.0,2024-07-02,Cancelado
4.0,1685.0,2024-04-28,Enviado
5.0,552.0,2024-03-17,Entregue
6.0,4963.0,2024-07-05,Pendente
7.0,7355.0,2024-04-23,Cancelado
8.0,6565.0,,Pago
9.0,2278.0,2024-06-30,Entregue
10.0,9309.0,2024-06-27,Pago
11.0,7535.0,2024-07-04,Entregue
12.0,7953.0,2024-04-13,Enviado
13.0,7301.0,2024-01-05,Pago
14.0,8758.0,2024-05-31,Pago
15.0,9785.0,2024-03-10,Pago
16.0,3615.0,2024-07-25,Entregue
17.0,9279.0,2024-06-25,Pendente
18.0,8913.0,2024-03-16,Entregue
19.0,2166.0,2024-07-19,Enviado
20.0,2390.0,2024-04-26,Enviado
21.0,2869.0,2024-01-29,Enviado
22.0,5126.0,2024-03-14,Pago
23.0,2192.0,2024-03-17,Enviado
24.0,1119.0,2024-05-22,Pendente
25.0,1576.0,2024-01-24,Pendente
26.0,2630.0,2024-03-03,Pago
27.0,5536.0,2024-01-23,Entregue
28.0,8618.0,2024-04-17,Pago
29.0,6091.0,2024-03-12,Pago
30.0,6346.0,2024-07-15,
31.0,1372.0,2024-01-25,Pago
32.0,6060.0,2024-03-01,Pago
33.0,3823.0,2024-04-28,Cancelado
34.0,390.0,2024-05-18,Entregue
,6106.0,2024-01-08,Entregue
36.0,3797.0,2024-07-27,Pago
37.0,7660.0,2024-07-03,Enviado
38.0,7913.0,2024-03-12,Enviado
39.0,5409.0,2024-06-29,Pendente
40.0,593.0,2024-02-26,Pago
41.0,7978.0,2024-05-22,Pendente
42.0,9261.0,2024-04-14,Pago
43.0,4908.0,2024-03-09,Enviado
44.0,6798.0,2024-04-18,Pago
45.0,3752.0,2024-06-21,Pago
46.0,,2024-05-22,Pago
47.0,3464.0,2024-07-19,Pago
48.0,4573.0,2024-04-01,Enviado
49.0,5086.0,2024-03-25,Pago
50.0,1291.0,2024-02-03,Pago
51.0,1850.0,2024-04-15,Pendente
52.0,8425.0,2024-03-08,Pendente
53.0,5009.0,,Pago
54.0,7816.0,2024-04-10,Enviado
55.0,1742.0,2024-06-21,Pago
56.0,1429.0,2024-02-28,Pago
57.0,6413.0,2024-01-05,Enviado
58.0,,2024-02-20,Pendente
59.0,8636.0,2024-01-02,Pago
60.0,2206.0,2024-04-25,Pendente
61.0,8615.0,2024-06-20,Pago
62.0,5671.0,2024-01-26,Enviado
63.0,1423.0,2024-04-20,Pendente
64.0,4103.0,2024-04-03,Pago
65.0,2109.0,2024-04-14,Pago
66.0,6101.0,2024-06-12,Enviado
67.0,4851.0,2024-07-13,Entregue
68.0,1782.0,2024-06-17,Pago
69.0,371.0,,Entregue
70.0,765.0,2024-04-15,Pago
71.0,3972.0,2024-02-27,Pago
72.0,6197.0,2024-07-27,Pago
73.0,6339.0,2024-01-26,Entregue
74.0,5748.0,2024-05-29,Entregue
75.0,570.0,2024-07-17,Entregue
76.0,6299.0,2024-06-18,Pago
77.0,1121.0,2024-03-02,Pago
78.0,6782.0,2024-03-04,Pago
79.0,556.0,2024-05-03,Entregue
80.0,9574.0,2024-02-10,Pendente
81.0,4831.0,2024-05-16,Pago
82.0,8061.0,,Enviado
83.0,6603.0,2024-01-31,Entregue
84.0,7826.0,2024-07-19,Pago
85.0,2297.0,2024-06-15,Pago
86.0,,2024-03-03,Enviado
87.0,5916.0,2024-01-16,Pendente
88.0,8936.0,2024-01-13,Entregue
89.0,9145.0,2024-06-04,Enviado
